행정구역,남자,여자,평균
서울특별시  (1100000000),41.2,42.9,42
서울특별시 종로구 (1111000000),43.3,44.9,44.1
서울특별시 중구 (1114000000),43.7,45.2,44.5
서울특별시 용산구 (1117000000),42.4,44.5,43.5
서울특별시 성동구 (1120000000),41.1,42.6,41.8
서울특별시 광진구 (1121500000),40.6,41.9,41.3
서울특별시 동대문구 (1123000000),42.3,44.1,43.2
서울특별시 중랑구 (1126000000),42.5,44.2,43.3
서울특별시 성북구 (1129000000),41.4,43.3,42.4
서울특별시 강북구 (1130500000),43.4,45.6,44.5
서울특별시 도봉구 (1132000000),42.6,44.8,43.7
서울특별시 노원구 (1135000000),40.4,43,41.7
서울특별시 은평구 (1138000000),41.9,44,43
서울특별시 서대문구 (1141000000),41.8,43.9,42.9
서울특별시 마포구 (1144000000),40.3,41.9,41.1
서울특별시 양천구 (1147000000),40,41.8,40.9
서울특별시 강서구 (1150000000),40.4,42.1,41.3
서울특별시 구로구 (1153000000),41.6,43,42.3
서울특별시 금천구 (1154500000),42.5,44.1,43.3
서울특별시 영등포구 (1156000000),41.7,43,42.3
서울특별시 동작구 (1159000000),41,42.9,42
서울특별시 관악구 (1162000000),40.8,42.5,41.6
서울특별시 서초구 (1165000000),39.6,40.9,40.3
서울특별시 강남구 (1168000000),39.6,41.1,40.4
서울특별시 송파구 (1171000000),39.9,41.3,40.6
서울특별시 강동구 (1174000000),41,42.8,41.9
부산광역시  (2600000000),42.5,45,43.8
부산광역시 중구 (2611000000),47.1,50.3,48.7
부산광역시 서구 (2614000000),45.7,48.6,47.2
부산광역시 동구 (2617000000),46.7,50.2,48.4
부산광역시 영도구 (2620000000),46.4,49.9,48.2
부산광역시 부산진구 (2623000000),43,45.4,44.2
부산광역시 동래구 (2626000000),42,44.7,43.4
부산광역시 남구 (2629000000),42.4,45.1,43.8
부산광역시 북구 (2632000000),41.6,44,42.8
부산광역시 해운대구 (2635000000),41.4,44,42.7
부산광역시 사하구 (2638000000),42.2,44.6,43.4
